Volume fraction,Processing method,Composite Young's modulus,Composite Yield Strength,Composite fracture stress,Composite fracture strain,Fatigue strength coefficient,Fatigue ductility coefficient  ,Cyclic strength coefficient,Cyclic strain hardening exponent,Load,Fatigue life
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1950,810
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1940,922
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1930,1023
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1920,1279
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1910,1472
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1900,1517
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1890,1671
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1880,1786
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1870,1817
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1860,2117
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1850,2161.7
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1840,2182
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1830,2265
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1820,2360
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1810,2474
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1800,2551
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1790,2603
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1780,2766
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1770,2821
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1760,3008
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1750,3220
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1740,3268
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1730,3381.8
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1720,3430
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1710,3682
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1700,3834
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1690,3965
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1680,4110
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1670,4223
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1660,4375
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1650,4568
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1640,4793
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1630,5064
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1620,5269
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1610,5533
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1600,5706
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1590,5886
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1580,6073
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1570,6125
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1560,6356
10,1,77.55,136,205,0.093,364,0.242,401.69,0.1528,1550,6655
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1950,707
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1940,715
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1930,738
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1920,770
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1910,811
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1900,839
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1890,863
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1880,910
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1870,955
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1860,1081
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1850,1186
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1840,1260
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1830,1433
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1820,1715
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1810,2059
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1800,2392
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1790,2553
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1780,2747
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1770,3199
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1760,3753
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1750,4606
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1740,5082
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1730,5596
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1720,6429
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1710,7030
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1700,7905
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1690,8848
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1680,10147
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1670,11295
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1660,12603
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1650,13242
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1640,14135
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1630,14887
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1620,15364
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1610,15812
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1600,16328
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1590,17329
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1580,19204
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1570,20060
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1560,21469
20,1,88.69,160.7,233.6,0.0574,407,0.09,433.68,0.14495,1550,22474
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1950,883
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1940,934
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1930,999
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1920,1029
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1910,1065
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1900,1116
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1890,1194
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1880,1232
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1870,1330
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1860,1352
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1850,1419
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1840,1490
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1830,1674
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1820,1783
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1810,1823
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1800,1945
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1790,2165
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1780,2211
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1770,2419
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1760,2651
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1750,2792
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1740,2890
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1730,3006
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1720,3183
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1710,3267
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1700,3483
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1690,3618
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1680,3934
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1670,4546
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1660,4981
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1650,5559
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1640,5934
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1630,6569
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1620,7191
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1610,7841
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1600,8016
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1590,9152
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1580,9941
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1570,10818
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1560,11594
30,1,95.97,235.2,287.6,0.023,499,0.0602,517,0.1309,1550,12618
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1600,720
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1590,822
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1580,855
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1570,1011
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1560,1065
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1550,1123
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1540,1238
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1530,1388
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1520,1435
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1510,1485
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1500,1611
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1490,1711
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1480,1859
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1470,2026
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1460,2251
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1450,2425
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1440,2563
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1430,2695
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1420,2832
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1410,3122
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1400,3318
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1390,3540
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1380,3643
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1370,3761
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1360,3917
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1350,4072
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1340,4186
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1330,4495
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1320,4554
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1310,4965
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1300,5911
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1290,6387
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1280,6578
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1270,6943
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1260,7422
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1250,8095
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1240,8191
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1230,8400
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1220,9026
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1210,9481
40,1,105.5,180,226,0.0104,390.3,0.0159,422,0.1297,1200,10610
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,1000,747
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,990,769
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,980,783
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,970,834
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,960,907
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,950,939
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,940,977
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,930,1010
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,920,1028
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,910,1106
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,900,1233
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,890,1294
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,880,1341
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,870,1389
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,860,1444
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,850,1461
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,840,1656
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,830,1676
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,820,1784
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,810,1833
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,800,2057
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,790,2304
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,780,2451
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,770,3007
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,760,3628
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,750,4089
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,740,4755
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,730,5108
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,720,6448
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,710,6950
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,700,7753
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,690,9927
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,680,10919
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,670,12871
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,660,13160
50,2,135.6,150,192,0.00352,339,0.0178,315.84,0.1052,650,15794
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,1000,784.2
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,990,847
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,980,931
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,970,996.5
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,960,1025.93
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,950,1150.1
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,940,1178.61
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,930,1262.03
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,920,1366.9
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,910,1447.02
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,900,1575.2
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,890,1590
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,880,1636
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,870,1742.7
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,860,2055
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,850,2342
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,840,2385
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,830,2676.19
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,820,2806
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,810,2975.3
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,800,3069
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,790,3552.8
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,780,3881.6
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,770,4006.4
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,760,5151.3
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,750,5447
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,740,6411.4
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,730,7030
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,720,8295.6
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,710,10049.2
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,700,12814.91
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,690,14008.7
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,680,16790.6
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,670,17196.6
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,660,18436.6
60,2,138.5,180,214,0.00327,373.9,0.0164,331.7,0.1,650,20095.17
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,1000,1545.05
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,990,1610
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,980,1658
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,970,1734.9
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,960,1748.6
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,950,1801
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,940,1931.58
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,930,1974.9
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,920,2099
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,910,2222.6
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,900,2319
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,890,2540.1
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,880,2796.79
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,870,3055.83
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,860,3491.69
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,850,3597
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,840,4089
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,830,4536
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,820,5024.6
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,810,5672.8
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,800,6403
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,790,6943
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,780,7587.2
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,770,8550
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,760,8903.157
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,750,9662
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,740,10951
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,730,11772.9
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,720,12465.6
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,710,14129.65
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,700,15253
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,690,19966.3
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,680,22164.6
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,670,24398.5
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,660,26936.17
70,2,140.96,210,250,0.0028,436.92,0.0149,353,0.0899,650,29761
