Volume Fraction,Matrix Density (kg/m^3),Matrix Elastic Modulus (MPa),Matrix Poisson's Ratio,Matrix Yield Strength (MPa),Fibre Density (kg/m^3),Fibre Elastic Modulus (MPa),Fibre Poisson Ratio,Strain Rate,Fibre Diameter Size,Mesh Size,Tensile Strength 
0.5,1200,2000.00,0.37,59.00,1770,220000,0.2,0.1,13.3,6,105.1848868
0.5,1200,2000.00,0.37,59.00,1770,220000,0.2,0.2,13.3,6,107.2692789
0.5,1200,2000.00,0.37,59.00,1770,220000,0.2,0.3,13.3,6,108.7904416
0.5,1200,2000.00,0.37,59.00,2540,75000,0.22,0.1,13.3,6,104.9630212
0.5,1200,2000.00,0.37,59.00,2540,75000,0.22,0.2,13.3,6,107.1515238
0.5,1200,2000.00,0.37,59.00,2540,75000,0.22,0.3,13.3,6,108.7069094
0.5,1200,2000.00,0.37,59.00,1470,150000,0.35,0.1,13.3,6,105.1237155
0.5,1200,2000.00,0.37,59.00,1470,150000,0.35,0.2,13.3,6,107.2363733
0.5,1200,2000.00,0.37,59.00,1470,150000,0.35,0.3,13.3,6,108.7667634
0.5,1200,2000.00,0.37,59.00,2530,85000,0.21,0.1,13.3,6,105.0027557
0.5,1200,2000.00,0.37,59.00,2530,85000,0.21,0.2,13.3,6,107.1729803
0.5,1200,2000.00,0.37,59.00,2530,85000,0.21,0.3,13.3,6,108.7222186
0.05,1180,2070.00,0.36,58.31,1770,220000,0.2,0.1,4.21,6,65.41726843
0.05,1180,2070.00,0.36,58.31,1770,220000,0.2,0.2,4.21,6,65.59664701
0.05,1180,2070.00,0.36,58.31,1770,220000,0.2,0.3,4.21,6,65.72756173
0.05,1180,2070.00,0.36,58.31,2540,75000,0.22,0.1,4.21,6,65.33015798
0.05,1180,2070.00,0.36,58.31,2540,75000,0.22,0.2,4.21,6,65.5481045
0.05,1180,2070.00,0.36,58.31,2540,75000,0.22,0.3,4.21,6,65.66793052
0.05,1180,2070.00,0.36,58.31,1470,150000,0.35,0.1,4.21,6,65.39556291
0.05,1180,2070.00,0.36,58.31,1470,150000,0.35,0.2,4.21,6,65.57737943
0.05,1180,2070.00,0.36,58.31,1470,150000,0.35,0.3,4.21,6,65.70231071
0.05,1180,2070.00,0.36,58.31,2530,85000,0.21,0.1,4.21,6,65.34704005
0.05,1180,2070.00,0.36,58.31,2530,85000,0.21,0.2,4.21,6,65.55342602
0.05,1180,2070.00,0.36,58.31,2530,85000,0.21,0.3,4.21,6,65.6734421
0.1,1180,2070.00,0.36,58.31,1770,220000,0.2,0.1,5.95,6,66.27549512
0.1,1180,2070.00,0.36,58.31,1770,220000,0.2,0.2,5.95,6,66.6000556
0.1,1180,2070.00,0.36,58.31,1770,220000,0.2,0.3,5.95,6,66.85338501
0.1,1180,2070.00,0.36,58.31,2540,75000,0.22,0.1,5.95,6,66.19872625
0.1,1180,2070.00,0.36,58.31,2540,75000,0.22,0.2,5.95,6,66.5059328
0.1,1180,2070.00,0.36,58.31,2540,75000,0.22,0.3,5.95,6,66.73903124
0.1,1180,2070.00,0.36,58.31,1470,150000,0.35,0.1,5.95,6,66.2472491
0.1,1180,2070.00,0.36,58.31,1470,150000,0.35,0.2,5.95,6,66.56133693
0.1,1180,2070.00,0.36,58.31,1470,150000,0.35,0.3,5.95,6,66.8074836
0.1,1180,2070.00,0.36,58.31,2530,85000,0.21,0.1,5.95,6,66.20845834
0.1,1180,2070.00,0.36,58.31,2530,85000,0.21,0.2,5.95,6,66.51498332
0.1,1180,2070.00,0.36,58.31,2530,85000,0.21,0.3,5.95,6,66.75011994
0.15,1180,2070.00,0.36,58.31,1770,220000,0.2,0.1,7.29,6,66.77623603
0.15,1180,2070.00,0.36,58.31,1770,220000,0.2,0.2,7.29,6,67.17179822
0.15,1180,2070.00,0.36,58.31,1770,220000,0.2,0.3,7.29,6,67.47057684
0.15,1180,2070.00,0.36,58.31,2540,75000,0.22,0.1,7.29,6,66.70242939
0.15,1180,2070.00,0.36,58.31,2540,75000,0.22,0.2,7.29,6,67.07595837
0.15,1180,2070.00,0.36,58.31,2540,75000,0.22,0.3,7.29,6,67.36650568
0.15,1180,2070.00,0.36,58.31,1470,150000,0.35,0.1,7.29,6,66.74755748
0.15,1180,2070.00,0.36,58.31,1470,150000,0.35,0.2,7.29,6,67.13523569
0.15,1180,2070.00,0.36,58.31,1470,150000,0.35,0.3,7.29,6,67.43374561
0.15,1180,2070.00,0.36,58.31,2530,85000,0.21,0.1,7.29,6,66.71056896
0.15,1180,2070.00,0.36,58.31,2530,85000,0.21,0.2,7.29,6,67.08597883
0.15,1180,2070.00,0.36,58.31,2530,85000,0.21,0.3,7.29,6,67.3782825
0.2,1180,2070.00,0.36,58.31,1770,220000,0.2,0.1,8.4,6,68.3359273
0.2,1180,2070.00,0.36,58.31,1770,220000,0.2,0.2,8.4,6,69.01749514
0.2,1180,2070.00,0.36,58.31,1770,220000,0.2,0.3,8.4,6,69.50759956
0.2,1180,2070.00,0.36,58.31,2540,75000,0.22,0.1,8.4,6,68.2515497
0.2,1180,2070.00,0.36,58.31,2540,75000,0.22,0.2,8.4,6,68.92335923
0.2,1180,2070.00,0.36,58.31,2540,75000,0.22,0.3,8.4,6,69.41643899
0.2,1180,2070.00,0.36,58.31,1470,150000,0.35,0.1,8.4,6,68.30439793
0.2,1180,2070.00,0.36,58.31,1470,150000,0.35,0.2,8.4,6,68.98480579
0.2,1180,2070.00,0.36,58.31,1470,150000,0.35,0.3,8.4,6,69.47906519
0.2,1180,2070.00,0.36,58.31,2530,85000,0.21,0.1,8.4,6,68.26173399
0.2,1180,2070.00,0.36,58.31,2530,85000,0.21,0.2,8.4,6,68.934946
0.2,1180,2070.00,0.36,58.31,2530,85000,0.21,0.3,8.4,6,69.42876631
0.25,1180,2070.00,0.36,58.31,1770,220000,0.2,0.1,9.41,6,74.12314931
0.25,1180,2070.00,0.36,58.31,1770,220000,0.2,0.2,9.41,6,75.61216655
0.25,1180,2070.00,0.36,58.31,1770,220000,0.2,0.3,9.41,6,76.62165033
0.25,1180,2070.00,0.36,58.31,2540,75000,0.22,0.1,9.41,6,73.94482586
0.25,1180,2070.00,0.36,58.31,2540,75000,0.22,0.2,9.41,6,75.43977411
0.25,1180,2070.00,0.36,58.31,2540,75000,0.22,0.3,9.41,6,76.4401877
0.25,1180,2070.00,0.36,58.31,1470,150000,0.35,0.1,9.41,6,74.06189281
0.25,1180,2070.00,0.36,58.31,1470,150000,0.35,0.2,9.41,6,75.55568108
0.25,1180,2070.00,0.36,58.31,1470,150000,0.35,0.3,9.41,6,76.565427
0.25,1180,2070.00,0.36,58.31,2530,85000,0.21,0.1,9.41,6,73.9715842
0.25,1180,2070.00,0.36,58.31,2530,85000,0.21,0.2,9.41,6,75.46492682
0.25,1180,2070.00,0.36,58.31,2530,85000,0.21,0.3,9.41,6,76.46841405
0.3,1180,2070.00,0.36,58.31,1770,220000,0.2,0.1,10.3,6,76.94649917
0.3,1180,2070.00,0.36,58.31,1770,220000,0.2,0.2,10.3,6,78.40514048
0.3,1180,2070.00,0.36,58.31,1770,220000,0.2,0.3,10.3,6,79.34883267
0.3,1180,2070.00,0.36,58.31,2540,75000,0.22,0.1,10.3,6,76.75873853
0.3,1180,2070.00,0.36,58.31,2540,75000,0.22,0.2,10.3,6,78.24757883
0.3,1180,2070.00,0.36,58.31,2540,75000,0.22,0.3,10.3,6,79.20161915
0.3,1180,2070.00,0.36,58.31,1470,150000,0.35,0.1,10.3,6,76.88277852
0.3,1180,2070.00,0.36,58.31,1470,150000,0.35,0.2,10.3,6,78.355379
0.3,1180,2070.00,0.36,58.31,1470,150000,0.35,0.3,10.3,6,79.30579517
0.3,1180,2070.00,0.36,58.31,2530,85000,0.21,0.1,10.3,6,76.78638817
0.3,1180,2070.00,0.36,58.31,2530,85000,0.21,0.2,10.3,6,78.27081134
0.3,1180,2070.00,0.36,58.31,2530,85000,0.21,0.3,10.3,6,79.22496307
0.35,1180,2070.00,0.36,58.31,1770,220000,0.2,0.1,11.13,6,87.01337928
0.35,1180,2070.00,0.36,58.31,1770,220000,0.2,0.2,11.13,6,88.51433718
0.35,1180,2070.00,0.36,58.31,1770,220000,0.2,0.3,11.13,6,89.56324741
0.35,1180,2070.00,0.36,58.31,2540,75000,0.22,0.1,11.13,6,86.82180444
0.35,1180,2070.00,0.36,58.31,2540,75000,0.22,0.2,11.13,6,88.38447759
0.35,1180,2070.00,0.36,58.31,2540,75000,0.22,0.3,11.13,6,89.46108989
0.35,1180,2070.00,0.36,58.31,1470,150000,0.35,0.1,11.13,6,86.95044506
0.35,1180,2070.00,0.36,58.31,1470,150000,0.35,0.2,11.13,6,88.47719793
0.35,1180,2070.00,0.36,58.31,1470,150000,0.35,0.3,11.13,6,89.53641697
0.35,1180,2070.00,0.36,58.31,2530,85000,0.21,0.1,11.13,6,86.84982764
0.35,1180,2070.00,0.36,58.31,2530,85000,0.21,0.2,11.13,6,88.40464957
0.35,1180,2070.00,0.36,58.31,2530,85000,0.21,0.3,11.13,6,89.4786732
0.4,1180,2070.00,0.36,58.31,1770,220000,0.2,0.1,11.9,6,97.06048717
0.4,1180,2070.00,0.36,58.31,1770,220000,0.2,0.2,11.9,6,99.08054262
0.4,1180,2070.00,0.36,58.31,1770,220000,0.2,0.3,11.9,6,100.538273
0.4,1180,2070.00,0.36,58.31,2540,75000,0.22,0.1,11.9,6,96.80395305
0.4,1180,2070.00,0.36,58.31,2540,75000,0.22,0.2,11.9,6,98.90148516
0.4,1180,2070.00,0.36,58.31,2540,75000,0.22,0.3,11.9,6,100.4081644
0.4,1180,2070.00,0.36,58.31,1470,150000,0.35,0.1,11.9,6,96.97746616
0.4,1180,2070.00,0.36,58.31,1470,150000,0.35,0.2,11.9,6,99.0321705
0.4,1180,2070.00,0.36,58.31,1470,150000,0.35,0.3,11.9,6,100.5056033
0.4,1180,2070.00,0.36,58.31,2530,85000,0.21,0.1,11.9,6,96.84048937
0.4,1180,2070.00,0.36,58.31,2530,85000,0.21,0.2,11.9,6,98.93106156
0.4,1180,2070.00,0.36,58.31,2530,85000,0.21,0.3,11.9,6,100.4320522
0.45,1180,2070.00,0.36,58.31,1770,220000,0.2,0.1,12.62,6,106.1915197
0.45,1180,2070.00,0.36,58.31,1770,220000,0.2,0.2,12.62,6,108.9284276
0.45,1180,2070.00,0.36,58.31,1770,220000,0.2,0.3,12.62,6,111.0036316
0.45,1180,2070.00,0.36,58.31,2540,75000,0.22,0.1,12.62,6,105.8864234
0.45,1180,2070.00,0.36,58.31,2540,75000,0.22,0.2,12.62,6,108.6912266
0.45,1180,2070.00,0.36,58.31,2540,75000,0.22,0.3,12.62,6,110.8291224
0.45,1180,2070.00,0.36,58.31,1470,150000,0.35,0.1,12.62,6,106.0946969
0.45,1180,2070.00,0.36,58.31,1470,150000,0.35,0.2,12.62,6,108.8626754
0.45,1180,2070.00,0.36,58.31,1470,150000,0.35,0.3,12.62,6,110.9584773
0.45,1180,2070.00,0.36,58.31,2530,85000,0.21,0.1,12.62,6,105.93087
0.45,1180,2070.00,0.36,58.31,2530,85000,0.21,0.2,12.62,6,108.7301616
0.45,1180,2070.00,0.36,58.31,2530,85000,0.21,0.3,12.62,6,110.8605665
0.5,1180,2070.00,0.36,58.31,1770,220000,0.2,0.1,13.3,6,104.0014049
0.5,1180,2070.00,0.36,58.31,1770,220000,0.2,0.2,13.3,6,106.1262262
0.5,1180,2070.00,0.36,58.31,1770,220000,0.2,0.3,13.3,6,107.6820771
0.5,1180,2070.00,0.36,58.31,2540,75000,0.22,0.1,13.3,6,103.7827965
0.5,1180,2070.00,0.36,58.31,2540,75000,0.22,0.2,13.3,6,106.0100899
0.5,1180,2070.00,0.36,58.31,2540,75000,0.22,0.3,13.3,6,107.5989381
0.5,1180,2070.00,0.36,58.31,1470,150000,0.35,0.1,13.3,6,103.9410528
0.5,1180,2070.00,0.36,58.31,1470,150000,0.35,0.2,13.3,6,106.0937073
0.5,1180,2070.00,0.36,58.31,1470,150000,0.35,0.3,13.3,6,107.6583137
0.5,1180,2070.00,0.36,58.31,2530,85000,0.21,0.1,13.3,6,103.8218887
0.5,1180,2070.00,0.36,58.31,2530,85000,0.21,0.2,13.3,6,106.0312515
0.5,1180,2070.00,0.36,58.31,2530,85000,0.21,0.3,13.3,6,107.6141031
0.05,931,1890.00,0.4,39.80,1770,220000,0.2,0.1,4.21,6,44.71552737
0.05,931,1890.00,0.4,39.80,1770,220000,0.2,0.2,4.21,6,44.84699914
0.05,931,1890.00,0.4,39.80,1770,220000,0.2,0.3,4.21,6,44.95315763
0.05,931,1890.00,0.4,39.80,2540,75000,0.22,0.1,4.21,6,44.68089487
0.05,931,1890.00,0.4,39.80,2540,75000,0.22,0.2,4.21,6,44.80664863
0.05,931,1890.00,0.4,39.80,2540,75000,0.22,0.3,4.21,6,44.90070262
0.05,931,1890.00,0.4,39.80,1470,150000,0.35,0.1,4.21,6,44.70368174
0.05,931,1890.00,0.4,39.80,1470,150000,0.35,0.2,4.21,6,44.82991063
0.05,931,1890.00,0.4,39.80,1470,150000,0.35,0.3,4.21,6,44.93069844
0.05,931,1890.00,0.4,39.80,2530,85000,0.21,0.1,4.21,6,44.68583629
0.05,931,1890.00,0.4,39.80,2530,85000,0.21,0.2,4.21,6,44.81038418
0.05,931,1890.00,0.4,39.80,2530,85000,0.21,0.3,4.21,6,44.90531635
0.1,931,1890.00,0.4,39.80,1770,220000,0.2,0.1,5.95,6,45.34288056
0.1,931,1890.00,0.4,39.80,1770,220000,0.2,0.2,5.95,6,45.59372943
0.1,931,1890.00,0.4,39.80,1770,220000,0.2,0.3,5.95,6,45.7979134
0.1,931,1890.00,0.4,39.80,2540,75000,0.22,0.1,5.95,6,45.28681124
0.1,931,1890.00,0.4,39.80,2540,75000,0.22,0.2,5.95,6,45.51590216
0.1,931,1890.00,0.4,39.80,2540,75000,0.22,0.3,5.95,6,45.70862715
0.1,931,1890.00,0.4,39.80,1470,150000,0.35,0.1,5.95,6,45.31998228
0.1,931,1890.00,0.4,39.80,1470,150000,0.35,0.2,5.95,6,45.56242616
0.1,931,1890.00,0.4,39.80,1470,150000,0.35,0.3,5.95,6,45.7639723
0.1,931,1890.00,0.4,39.80,2530,85000,0.21,0.1,5.95,6,45.29245389
0.1,931,1890.00,0.4,39.80,2530,85000,0.21,0.2,5.95,6,45.52342241
0.1,931,1890.00,0.4,39.80,2530,85000,0.21,0.3,5.95,6,45.71779891
0.15,931,1890.00,0.4,39.80,1770,220000,0.2,0.1,7.29,6,45.70266993
0.15,931,1890.00,0.4,39.80,1770,220000,0.2,0.2,7.29,6,45.99812588
0.15,931,1890.00,0.4,39.80,1770,220000,0.2,0.3,7.29,6,46.23573647
0.15,931,1890.00,0.4,39.80,2540,75000,0.22,0.1,7.29,6,45.64376617
0.15,931,1890.00,0.4,39.80,2540,75000,0.22,0.2,7.29,6,45.92750756
0.15,931,1890.00,0.4,39.80,2540,75000,0.22,0.3,7.29,6,46.16622899
0.15,931,1890.00,0.4,39.80,1470,150000,0.35,0.1,7.29,6,45.67953244
0.15,931,1890.00,0.4,39.80,1470,150000,0.35,0.2,7.29,6,45.97307146
0.15,931,1890.00,0.4,39.80,1470,150000,0.35,0.3,7.29,6,46.21372948
0.15,931,1890.00,0.4,39.80,2530,85000,0.21,0.1,7.29,6,45.64978565
0.15,931,1890.00,0.4,39.80,2530,85000,0.21,0.2,7.29,6,45.9354538
0.15,931,1890.00,0.4,39.80,2530,85000,0.21,0.3,7.29,6,46.17509274
0.2,931,1890.00,0.4,39.80,1770,220000,0.2,0.1,8.4,6,46.87118991
0.2,931,1890.00,0.4,39.80,1770,220000,0.2,0.2,8.4,6,47.35582863
0.2,931,1890.00,0.4,39.80,1770,220000,0.2,0.3,8.4,6,47.73947965
0.2,931,1890.00,0.4,39.80,2540,75000,0.22,0.1,8.4,6,46.80822948
0.2,931,1890.00,0.4,39.80,2540,75000,0.22,0.2,8.4,6,47.29429361
0.2,931,1890.00,0.4,39.80,2540,75000,0.22,0.3,8.4,6,47.68623493
0.2,931,1890.00,0.4,39.80,1470,150000,0.35,0.1,8.4,6,46.8482687
0.2,931,1890.00,0.4,39.80,1470,150000,0.35,0.2,8.4,6,47.33647258
0.2,931,1890.00,0.4,39.80,1470,150000,0.35,0.3,8.4,6,47.72514038
0.2,931,1890.00,0.4,39.80,2530,85000,0.21,0.1,8.4,6,46.81570714
0.2,931,1890.00,0.4,39.80,2530,85000,0.21,0.2,8.4,6,47.30253476
0.2,931,1890.00,0.4,39.80,2530,85000,0.21,0.3,8.4,6,47.69446953
0.25,931,1890.00,0.4,39.80,1770,220000,0.2,0.1,9.41,6,51.19602196
0.25,931,1890.00,0.4,39.80,1770,220000,0.2,0.2,9.41,6,52.23827046
0.25,931,1890.00,0.4,39.80,1770,220000,0.2,0.3,9.41,6,53.04864932
0.25,931,1890.00,0.4,39.80,2540,75000,0.22,0.1,9.41,6,51.07112018
0.25,931,1890.00,0.4,39.80,2540,75000,0.22,0.2,9.41,6,52.09884262
0.25,931,1890.00,0.4,39.80,2540,75000,0.22,0.3,9.41,6,52.91144315
0.25,931,1890.00,0.4,39.80,1470,150000,0.35,0.1,9.41,6,51.15379384
0.25,931,1890.00,0.4,39.80,1470,150000,0.35,0.2,9.41,6,52.1946497
0.25,931,1890.00,0.4,39.80,1470,150000,0.35,0.3,9.41,6,53.00791214
0.25,931,1890.00,0.4,39.80,2530,85000,0.21,0.1,9.41,6,51.08912292
0.25,931,1890.00,0.4,39.80,2530,85000,0.21,0.2,9.41,6,52.12057436
0.25,931,1890.00,0.4,39.80,2530,85000,0.21,0.3,9.41,6,52.93453476
0.3,931,1890.00,0.4,39.80,1770,220000,0.2,0.1,10.3,6,53.07378565
0.3,931,1890.00,0.4,39.80,1770,220000,0.2,0.2,10.3,6,54.04265349
0.3,931,1890.00,0.4,39.80,1770,220000,0.2,0.3,10.3,6,54.75758244
0.3,931,1890.00,0.4,39.80,2540,75000,0.22,0.1,10.3,6,52.9566466
0.3,931,1890.00,0.4,39.80,2540,75000,0.22,0.2,10.3,6,53.93793024
0.3,931,1890.00,0.4,39.80,2540,75000,0.22,0.3,10.3,6,54.66788332
0.3,931,1890.00,0.4,39.80,1470,150000,0.35,0.1,10.3,6,53.03525376
0.3,931,1890.00,0.4,39.80,1470,150000,0.35,0.2,10.3,6,54.0118057
0.3,931,1890.00,0.4,39.80,1470,150000,0.35,0.3,10.3,6,54.73287537
0.3,931,1890.00,0.4,39.80,2530,85000,0.21,0.1,10.3,6,52.97357783
0.3,931,1890.00,0.4,39.80,2530,85000,0.21,0.2,10.3,6,53.95463537
0.3,931,1890.00,0.4,39.80,2530,85000,0.21,0.3,10.3,6,54.68343173
0.35,931,1890.00,0.4,39.80,1770,220000,0.2,0.1,11.13,6,59.91348306
0.35,931,1890.00,0.4,39.80,1770,220000,0.2,0.2,11.13,6,60.92673516
0.35,931,1890.00,0.4,39.80,1770,220000,0.2,0.3,11.13,6,61.77214956
0.35,931,1890.00,0.4,39.80,2540,75000,0.22,0.1,11.13,6,59.81207921
0.35,931,1890.00,0.4,39.80,2540,75000,0.22,0.2,11.13,6,60.85842043
0.35,931,1890.00,0.4,39.80,2540,75000,0.22,0.3,11.13,6,61.721523
0.35,931,1890.00,0.4,39.80,1470,150000,0.35,0.1,11.13,6,59.882786
0.35,931,1890.00,0.4,39.80,1470,150000,0.35,0.2,11.13,6,60.90895524
0.35,931,1890.00,0.4,39.80,1470,150000,0.35,0.3,11.13,6,61.75963873
0.35,931,1890.00,0.4,39.80,2530,85000,0.21,0.1,11.13,6,59.8269952
0.35,931,1890.00,0.4,39.80,2530,85000,0.21,0.2,11.13,6,60.87009239
0.35,931,1890.00,0.4,39.80,2530,85000,0.21,0.3,11.13,6,61.73096018
0.4,931,1890.00,0.4,39.80,1770,220000,0.2,0.1,11.9,6,66.90948383
0.4,931,1890.00,0.4,39.80,1770,220000,0.2,0.2,11.9,6,68.33950556
0.4,931,1890.00,0.4,39.80,1770,220000,0.2,0.3,11.9,6,69.50524682
0.4,931,1890.00,0.4,39.80,2540,75000,0.22,0.1,11.9,6,66.76618281
0.4,931,1890.00,0.4,39.80,2540,75000,0.22,0.2,11.9,6,68.25269658
0.4,931,1890.00,0.4,39.80,2540,75000,0.22,0.3,11.9,6,69.4445015
0.4,931,1890.00,0.4,39.80,1470,150000,0.35,0.1,11.9,6,66.86776361
0.4,931,1890.00,0.4,39.80,1470,150000,0.35,0.2,11.9,6,68.31814083
0.4,931,1890.00,0.4,39.80,1470,150000,0.35,0.3,11.9,6,69.48974756
0.4,931,1890.00,0.4,39.80,2530,85000,0.21,0.1,11.9,6,66.78786867
0.4,931,1890.00,0.4,39.80,2530,85000,0.21,0.2,11.9,6,68.26877256
0.4,931,1890.00,0.4,39.80,2530,85000,0.21,0.3,11.9,6,69.45609482
0.45,931,1890.00,0.4,39.80,1770,220000,0.2,0.1,12.62,6,73.35041434
0.45,931,1890.00,0.4,39.80,1770,220000,0.2,0.2,12.62,6,75.36387686
0.45,931,1890.00,0.4,39.80,1770,220000,0.2,0.3,12.62,6,77.00079575
0.45,931,1890.00,0.4,39.80,2540,75000,0.22,0.1,12.62,6,73.16843397
0.45,931,1890.00,0.4,39.80,2540,75000,0.22,0.2,12.62,6,75.24828447
0.45,931,1890.00,0.4,39.80,2540,75000,0.22,0.3,12.62,6,76.91603804
0.45,931,1890.00,0.4,39.80,1470,150000,0.35,0.1,12.62,6,73.29736294
0.45,931,1890.00,0.4,39.80,1470,150000,0.35,0.2,12.62,6,75.33427425
0.45,931,1890.00,0.4,39.80,1470,150000,0.35,0.3,12.62,6,76.97833001
0.45,931,1890.00,0.4,39.80,2530,85000,0.21,0.1,12.62,6,73.19664722
0.45,931,1890.00,0.4,39.80,2530,85000,0.21,0.2,12.62,6,75.26912492
0.45,931,1890.00,0.4,39.80,2530,85000,0.21,0.3,12.62,6,76.93157663
0.5,931,1890.00,0.4,39.80,1770,220000,0.2,0.1,13.3,6,71.6977406
0.5,931,1890.00,0.4,39.80,1770,220000,0.2,0.2,13.3,6,73.22771784
0.5,931,1890.00,0.4,39.80,1770,220000,0.2,0.3,13.3,6,74.37531218
0.5,931,1890.00,0.4,39.80,2540,75000,0.22,0.1,13.3,6,71.59726735
0.5,931,1890.00,0.4,39.80,2540,75000,0.22,0.2,13.3,6,73.17319844
0.5,931,1890.00,0.4,39.80,2540,75000,0.22,0.3,13.3,6,74.33142927
0.5,931,1890.00,0.4,39.80,1470,150000,0.35,0.1,13.3,6,71.66981571
0.5,931,1890.00,0.4,39.80,1470,150000,0.35,0.2,13.3,6,73.21229722
0.5,931,1890.00,0.4,39.80,1470,150000,0.35,0.3,13.3,6,74.40543252
0.5,931,1890.00,0.4,39.80,2530,85000,0.21,0.1,13.3,6,71.61547981
0.5,931,1890.00,0.4,39.80,2530,85000,0.21,0.2,13.3,6,73.18324511
0.5,931,1890.00,0.4,39.80,2530,85000,0.21,0.3,13.3,6,74.38310441
